リーグ,チーム,選手名,背番号,ポジション,区分,被打率,被打数,被安打,被本塁打,奪三振,与四球,与死球
パ,東北楽天ゴールデンイーグルス,九谷 瑠,45,投,対右打者,0,5,0,0,2,1,0
パ,東北楽天ゴールデンイーグルス,九谷 瑠,45,投,対左打者,0.222,9,2,0,0,2,0
パ,東北楽天ゴールデンイーグルス,古謝 樹,17,投,対右打者,0.222,9,2,0,1,0,0
パ,東北楽天ゴールデンイーグルス,古謝 樹,17,投,対左打者,0.471,17,8,1,3,1,0
パ,東北楽天ゴールデンイーグルス,西垣 雅矢,49,投,対右打者,0.2,5,1,1,2,0,0
パ,東北楽天ゴールデンイーグルス,西垣 雅矢,49,投,対左打者,0,7,0,0,1,1,0
パ,東北楽天ゴールデンイーグルス,前田 健太,18,投,対右打者,0.2,5,1,0,1,1,0
パ,東北楽天ゴールデンイーグルス,前田 健太,18,投,対左打者,0.4,10,4,0,3,4,0
パ,東北楽天ゴールデンイーグルス,宋 家豪,43,投,対右打者,0.5,6,3,0,0,2,0
パ,東北楽天ゴールデンイーグルス,宋 家豪,43,投,対左打者,0.222,9,2,1,2,0,0
パ,東北楽天ゴールデンイーグルス,荘司 康誠,19,投,対右打者,0.192,26,5,0,9,2,0
パ,東北楽天ゴールデンイーグルス,荘司 康誠,19,投,対左打者,0.207,29,6,0,6,0,0
パ,東北楽天ゴールデンイーグルス,瀧中 瞭太,57,投,対右打者,0.15,20,3,1,5,3,0
パ,東北楽天ゴールデンイーグルス,瀧中 瞭太,57,投,対左打者,0.188,16,3,0,4,3,1
パ,東北楽天ゴールデンイーグルス,津留﨑 大成,52,投,対右打者,0.167,6,1,1,1,3,0
パ,東北楽天ゴールデンイーグルス,津留﨑 大成,52,投,対左打者,0.333,6,2,0,1,1,0
パ,東北楽天ゴールデンイーグルス,田中 千晴,29,投,対右打者,0.5,6,3,0,2,1,0
パ,東北楽天ゴールデンイーグルス,田中 千晴,29,投,対左打者,0.25,12,3,0,6,0,0
パ,東北楽天ゴールデンイーグルス,藤原 聡大,13,投,対右打者,0.538,13,7,1,0,3,0
パ,東北楽天ゴールデンイーグルス,藤原 聡大,13,投,対左打者,0.263,19,5,0,5,1,2
パ,東北楽天ゴールデンイーグルス,藤平 尚真,46,投,対右打者,0.375,8,3,0,3,0,0
パ,東北楽天ゴールデンイーグルス,藤平 尚真,46,投,対左打者,0,6,0,0,2,2,0
パ,東北楽天ゴールデンイーグルス,内 星龍,69,投,対右打者,0.364,11,4,0,4,0,0
パ,東北楽天ゴールデンイーグルス,内 星龍,69,投,対左打者,0.143,7,1,0,1,2,0
パ,東北楽天ゴールデンイーグルス,鈴木 翔天,56,投,対右打者,0.25,4,1,0,1,2,0
パ,東北楽天ゴールデンイーグルス,鈴木 翔天,56,投,対左打者,0,8,0,0,0,0,0
パ,福岡ソフトバンクホークス,スチュワート・ジュニア,2,投,対右打者,0.167,24,4,1,8,1,2
パ,福岡ソフトバンクホークス,スチュワート・ジュニア,2,投,対左打者,0.294,17,5,1,3,2,0
パ,福岡ソフトバンクホークス,ヘルナンデス,63,投,対右打者,0.364,11,4,1,3,3,1
パ,福岡ソフトバンクホークス,ヘルナンデス,63,投,対左打者,0.2,5,1,0,3,1,0
パ,福岡ソフトバンクホークス,伊藤 優輔,42,投,対右打者,0,2,0,0,1,1,0
パ,福岡ソフトバンクホークス,伊藤 優輔,42,投,対左打者,0,1,0,0,1,0,1
パ,福岡ソフトバンクホークス,稲川 竜汰,13,投,対右打者,0,1,0,0,0,0,0
パ,福岡ソフトバンクホークス,稲川 竜汰,13,投,対左打者,0,1,0,0,0,2,0
パ,福岡ソフトバンクホークス,徐 若熙,18,投,対右打者,0,9,0,0,3,2,0
パ,福岡ソフトバンクホークス,徐 若熙,18,投,対左打者,0.333,9,3,0,3,0,0
パ,福岡ソフトバンクホークス,松本 晴,49,投,対右打者,0.2,35,7,2,10,2,1
パ,福岡ソフトバンクホークス,松本 晴,49,投,対左打者,0.308,13,4,0,4,2,1
パ,福岡ソフトバンクホークス,松本 裕樹,66,投,対右打者,0.222,9,2,0,3,0,0
パ,福岡ソフトバンクホークス,松本 裕樹,66,投,対左打者,0.545,11,6,0,1,1,0
パ,福岡ソフトバンクホークス,上沢 直之,10,投,対右打者,0.2,30,6,1,8,0,1
パ,福岡ソフトバンクホークス,上沢 直之,10,投,対左打者,0.227,22,5,1,6,2,0
パ,福岡ソフトバンクホークス,上茶谷 大河,64,投,対右打者,0.083,12,1,1,4,0,0
パ,福岡ソフトバンクホークス,上茶谷 大河,64,投,対左打者,0.429,7,3,1,1,1,0
パ,福岡ソフトバンクホークス,杉山 一樹,40,投,対右打者,0.308,13,4,0,5,2,0
パ,福岡ソフトバンクホークス,杉山 一樹,40,投,対左打者,0.429,7,3,0,1,0,0
パ,福岡ソフトバンクホークス,大関 友久,47,投,対右打者,0.25,16,4,0,4,2,0
パ,福岡ソフトバンクホークス,大関 友久,47,投,対左打者,0.286,7,2,0,0,1,0
パ,福岡ソフトバンクホークス,大津 亮介,19,投,対右打者,0.571,7,4,1,1,0,1
パ,福岡ソフトバンクホークス,大津 亮介,19,投,対左打者,0.263,19,5,1,0,0,0
パ,福岡ソフトバンクホークス,大野 稼頭央,60,投,対左打者,0,1,0,0,0,0,0
パ,福岡ソフトバンクホークス,木村 光,68,投,対右打者,0.25,4,1,0,1,1,0
パ,福岡ソフトバンクホークス,木村 光,68,投,対左打者,0,9,0,0,2,1,0
パ,北海道日本ハムファイターズ,伊藤 大海,17,投,対右打者,0.222,18,4,1,5,0,0
パ,北海道日本ハムファイターズ,伊藤 大海,17,投,対左打者,0.31,29,9,2,4,1,1
パ,北海道日本ハムファイターズ,加藤 貴之,14,投,対右打者,0.3,10,3,0,1,0,0
パ,北海道日本ハムファイターズ,加藤 貴之,14,投,対左打者,0.083,12,1,0,4,0,0
パ,北海道日本ハムファイターズ,古林 睿煬,37,投,対右打者,0.4,5,2,0,1,1,0
パ,北海道日本ハムファイターズ,古林 睿煬,37,投,対左打者,0,4,0,0,2,2,0
パ,北海道日本ハムファイターズ,細野 晴希,29,投,対右打者,0,11,0,0,5,0,0
パ,北海道日本ハムファイターズ,細野 晴希,29,投,対左打者,0,16,0,0,7,1,1
パ,北海道日本ハムファイターズ,山本 拓実,67,投,対右打者,0.333,3,1,1,1,0,0
パ,北海道日本ハムファイターズ,山本 拓実,67,投,対左打者,0.143,7,1,0,1,1,1
パ,北海道日本ハムファイターズ,山﨑 福也,18,投,対右打者,0,3,0,0,1,0,0
パ,北海道日本ハムファイターズ,山﨑 福也,18,投,対左打者,0.571,7,4,0,0,1,0
パ,北海道日本ハムファイターズ,上原 健太,20,投,対右打者,0,6,0,0,2,1,0
パ,北海道日本ハムファイターズ,上原 健太,20,投,対左打者,0.4,5,2,1,2,1,0
パ,北海道日本ハムファイターズ,達 孝太,16,投,対右打者,0.381,21,8,0,6,1,0
パ,北海道日本ハムファイターズ,達 孝太,16,投,対左打者,0.28,25,7,1,6,3,1
パ,北海道日本ハムファイターズ,池田 隆英,52,投,対右打者,0,3,0,0,0,0,0
パ,北海道日本ハムファイターズ,池田 隆英,52,投,対左打者,0.333,3,1,0,1,0,0
パ,北海道日本ハムファイターズ,田中 正義,26,投,対右打者,0,5,0,0,2,0,0
パ,北海道日本ハムファイターズ,田中 正義,26,投,対左打者,0,4,0,0,1,0,0
パ,北海道日本ハムファイターズ,島本 浩也,40,投,対右打者,0.25,4,1,0,1,1,0
パ,北海道日本ハムファイターズ,島本 浩也,40,投,対左打者,0.25,4,1,0,2,1,0
パ,北海道日本ハムファイターズ,福谷 浩司,41,投,対右打者,0.5,6,3,1,1,0,0
パ,北海道日本ハムファイターズ,福谷 浩司,41,投,対左打者,0,3,0,0,2,1,0
パ,北海道日本ハムファイターズ,北山 亘基,15,投,対右打者,0.286,7,2,1,2,0,0
パ,北海道日本ハムファイターズ,北山 亘基,15,投,対左打者,0.071,14,1,0,4,1,0
パ,北海道日本ハムファイターズ,柳川 大晟,47,投,対右打者,0,2,0,0,1,0,0
パ,北海道日本ハムファイターズ,柳川 大晟,47,投,対左打者,0,4,0,0,1,0,0
パ,北海道日本ハムファイターズ,有原 航平,74,投,対右打者,0.083,12,1,0,3,2,1
パ,北海道日本ハムファイターズ,有原 航平,74,投,対左打者,0.317,41,13,1,4,2,0
