選手名,チーム,試合,打率,本塁打,打点,安打,盗塁,出塁率,長打率,OPS,打席
平野 佳寿,オリックス,2,0,0,0,0,0,0,0,0,0
廣岡 大志,オリックス,13,0.191,0,3,9,0,0.235,0.191,0.426,51
博志,オリックス,2,0,0,0,0,0,0,0,0,0
福永 奨,オリックス,4,0,0,0,0,0,0,0,0,2
ペルドモ,オリックス,8,0,0,0,0,0,0,0,0,0
マチャド,オリックス,14,0,0,0,0,0,0,0,0,0
宮城 大弥,オリックス,3,0,0,0,0,0,0,0,0,0
宮國 凌空,オリックス,1,0,0,0,0,0,0,0,0,0
麦谷 祐介,オリックス,26,0.095,1,4,2,1,0.091,0.333,0.424,23
椋木 蓮,オリックス,14,0,0,0,0,0,0,0,0,0
宗 佑磨,オリックス,32,0.224,5,13,26,2,0.328,0.379,0.707,135
森 友哉,オリックス,29,0.265,4,11,26,0,0.339,0.459,0.798,109
山﨑 颯一郎,オリックス,15,0,0,0,0,0,0,0,0,0
山田 修義,オリックス,8,0,0,0,0,0,0,0,0,0
横山 楓,オリックス,7,0,0,0,0,0,0,0,0,0
横山 聖哉,オリックス,3,0,0,0,0,0,0,0,0,7
吉田 輝星,オリックス,5,0,0,0,0,0,0,0,0,0
若月 健矢,オリックス,26,0.178,0,3,13,0,0.231,0.219,0.45,84
渡部 遼人,オリックス,26,0.3,3,7,21,8,0.395,0.457,0.852,85
愛斗,ロッテ,7,0.143,0,1,2,1,0.143,0.214,0.357,14
東妻 勇輔,ロッテ,1,0,0,0,0,0,0,0,0,0
池田 来翔,ロッテ,16,0.263,0,0,5,0,0.263,0.316,0.579,19
石川 慎吾,ロッテ,9,0.125,1,5,3,0,0.25,0.25,0.5,28
石垣 勝海,ロッテ,1,0,0,0,0,0,0,0,0,3
井上 広大,ロッテ,6,0.091,1,3,1,0,0.083,0.364,0.447,12
上田 希由翔,ロッテ,8,0.259,1,1,7,0,0.286,0.444,0.73,28
岡 大海,ロッテ,15,0.139,0,0,5,2,0.184,0.139,0.323,39
小川 龍成,ロッテ,33,0.325,0,4,27,2,0.356,0.349,0.705,92
小島 和哉,ロッテ,3,0,0,0,0,0,0,0,0,0
小野 郁,ロッテ,2,0,0,0,0,0,0,0,0,0
河村 説人,ロッテ,1,0,0,0,0,0,0,0,0,0
菊地 吏玖,ロッテ,2,0,0,0,0,0,0,0,0,0
木村 優人,ロッテ,3,0,0,0,0,0,0,0,0,0
坂本 光士郎,ロッテ,5,0,0,0,0,0,0,0,0,0
佐藤 都志也,ロッテ,28,0.232,4,10,13,1,0.394,0.482,0.876,71
澤田 圭佑,ロッテ,13,0,0,0,0,0,0,0,0,0
ジャクソン,ロッテ,6,0,0,0,0,0,0,0,0,0
鈴木 昭汰,ロッテ,13,0,0,0,0,0,0,0,0,0
ソト,ロッテ,31,0.235,2,6,23,0,0.292,0.337,0.629,106
高野 脩汰,ロッテ,11,0,0,0,0,0,0,0,0,0
髙部 瑛斗,ロッテ,22,0.222,0,2,12,2,0.276,0.259,0.535,58
田中 晴也,ロッテ,6,0,0,0,0,0,0,0,0,0
種市 篤暉,ロッテ,2,0,0,0,0,0,0,0,0,0
田村 龍弘,ロッテ,2,0,0,0,0,0,0,0,0,3
寺地 隆成,ロッテ,34,0.205,3,13,25,0,0.275,0.295,0.57,139
友杉 篤輝,ロッテ,32,0.347,0,8,26,2,0.395,0.4,0.795,84
中森 俊介,ロッテ,2,0,0,0,0,0,0,0,0,0
西川 史礁,ロッテ,34,0.272,1,12,37,2,0.336,0.338,0.674,149
西野 勇士,ロッテ,4,0,0,0,0,0,0,0,0,0
廣池 康志郎,ロッテ,6,0,0,0,0,0,0,0,0,0
廣畑 敦也,ロッテ,2,0,0,0,0,0,0,0,0,0
藤岡 裕大,ロッテ,9,0.136,0,1,3,0,0.2,0.136,0.336,26
藤原 恭大,ロッテ,34,0.302,2,17,38,3,0.407,0.397,0.804,150
ポランコ,ロッテ,31,0.241,3,10,21,0,0.292,0.414,0.706,96
益田 直也,ロッテ,9,0,0,0,0,0,0,0,0,0
松川 虎生,ロッテ,21,0.196,0,6,9,0,0.196,0.239,0.435,49
宮﨑 颯,ロッテ,4,0,0,0,0,0,0,0,0,0
宮崎 竜成,ロッテ,15,0.118,0,0,2,0,0.118,0.118,0.236,17
毛利 海大,ロッテ,5,0,0,0,0,0,0,0,0,0
八木 彬,ロッテ,8,0,0,0,0,0,0,0,0,0
山口 航輝,ロッテ,8,0.077,0,0,1,0,0.077,0.077,0.154,13
山本 大斗,ロッテ,22,0.163,1,3,8,0,0.276,0.265,0.541,58
横山 陸人,ロッテ,14,0,0,0,0,0,0,0,0,0
ロング,ロッテ,13,0,0,0,0,0,0,0,0,0
和田 康士朗,ロッテ,8,0,0,0,0,1,0,0,0,3
